CNPJ;NOME FANTASIA;RAZÃO SOCIAL;SIF;ENDEREÇO;BAIRRO;CEP;MUNICIPIO;UF;TELEFONE;FAX;SITE
04.209.149/0001-36;;FRIGOMAX FRIGORIFICO E COMERCIO DE CARNES LTDA;1771;RUA PINTA ROXO, 172 ;VILA CASCATA;86.700-000;ARAPONGAS;PR;;;
20.395.778/0001-54;FRIGORIFICO TAMOYO;FRIGORIFICO TAMOYO LTDA ;1772;AV RODOLFO SARTI, S/N.;SUBURBIO;37.701-970;PO.OS DE CALDAS;MG;(35) 2101.2100;(35) 2101.2144;www.tamoyo.com
26.374.181/0001-00;;FRIGORIFICO PREMIER LTDA;1780;ROD. MACHADO/ALFENAS KM 08 FAZ. SANTA CLARA;;37.750-000;MACHADO;MG;035  295.5544;;
03.213.102/0001-83;;AGROPECUARIA EXCLUSIVA LTDA - ME ;1663;ROD. BR 354, KM 569;ZONA RURAL;37.270-000;CAMPO BELO;MG;(35) 3832.7757;;
02.982.267/0004-08;NAVI CARNES;NAVI CARNES IND.STRIA E COM.RCIO LTDA;1365;ROD. ASSIS CHATEAUBRIAND, S/N., KM 476;ZONA RURAL ;19.200-000;PIRAPOZINHO;SP;;;
23.647.688/0001-00;FRIGONOSSA;FRIGOR.FICO NOSSA SENHORA DA SA.DE LTDA;1290;AV. CHAMPAGNAT, 1679 ROD. PO.OS DE CALDAS  ;CORREGO D'ANTAS ;37.700-000;PO.OS DE CALDAS;MG;(35) 3715.8000;(35) 3715.8000;
01.656.444/0005-76;COOPERXANXERE ;COOPERATIVA AGR.RIA XANXER.;996;LINHA PESQUEIRO DO MEIO S/N. ;INTERIOR;89.820-000;XANXER.;SC;(49) 3433.1681;(49) 3433.4738;
03.853.896/0008-16;;MARFRIG GLOBAL FOODS S. A.;2500;ROD. MT 130 KM 03;ZONA RURAL;78.870-000;PARANATINGA;MT;(66) 3573-3800;(66) 3573-3800;www.marfrig.com.br
19.397.579/0001-04;;FRIGOBET - FRIGORIFICO INDUSTRIAL BETIM LTDA;927;RUA QUATRO S/N ;IMBIRU.U;32.500-000;BETIM;MG;(31) 3591.1511;(31) 3591.1756;
03.153.042/0001-50;;FRIGOR.FICO BOI BRAVO IND.STRIA E COM.RCIO LTDA;737;AV DO CONTORNO, 1010;ABADIA ;38.001-970;UBERABA;MG;(34) 3313.9100;(34) 3313.1330;
83.310.441/0030-51;AURORA ;COOPERATIVA CENTRAL AURORA ALIMENTOS ;784;RUA PREFEITO NORMELIO ZILIO, S/N.;DISTRITO INDUSTRIAL;89.600-000;JOA.ABA;SC;(49) 3202.3100;(49) 3551.8808;www.auroraalimentos.com.br
95.448.486/0001-31;;FRIGORIFICO SAO MIGUEL LTDA;673;EST. NOE NUNES DE MEDEIROS S/N. KM 02;LINHA SAO VICENTE;85.877-000;S.O MIGUEL DO IGUA.U;PR;(45) 3565-2232;(45) 3565-2232;www.friella.com.br
07.464.123/0001-22;;MAFRIAL MATADOURO E FRIGOR.FICO LTDA.;547;RUA ;;35.100-000;GOVERNADOR VALADARES;MG;;;
03.372.077/0001-80;;HIPERCARNES IND.STRIA E COM.RCIO LTDA - ME;588;RUA MODELO, 37, LETRA A;SUZANA;31.250-000;BELO HORIZONTE;MG;(31) 2559-8502 ;;
02.914.460/0154-25;SEARA;SEARA ALIMENTOS  LTDA;12;RUA DR. TRANQUILO DAMO, 209, SALA 01;SANTO ANTONIO;98.400-000;FREDERICO WESTPHALEN;RS;(55) 3744.9000;(55) 3744.9001;
47.026.067/0001-69;;OLHOS DAGUA IND.STRIA E COM.RCIO DE CARNES LTDA;70;AV. REGINA MOSCONI, 1420;CENTRO;14.610-000;IPU.;SP;(16) 3832.1888;;www.olhosdaguaalimentos.com.br
06.086.255/0001-03;;FRIGOR.FICO DOM GLUT.O LTDA;111;ROD. SP 331, KM 51  ;RURAL;14.940-000;IBITINGA;SP;(16) 3342.6924;;www.domglutao.com.br
09.021.512/0001-09;;DIMEZA ALIMENTOS LTDA - ME ;147;RUA DR. ANTONIO CHAGAS DINIZ, 545 'G';CIDADE INDUSTRIAL;32.210-000;CONTAGEM;MG;(31) 2104-0717 ;;
83.188.110/0001-56;FRICASA;FRICASA ALIMENTOS S/A;236;AV SENADOR IVO DE AQUINO, 1330;INDUSTRIAL ;89.460-000;CANOINHAS;SC;(47) 3622-3388;(47) 3622-3388;www.fricasa.com.br
05.699.871/0001-69;FRIGOTIL;FRIGORIFICO DE TIMON S/A;299;ROD. TIMON PRES DUTRA - BR 226,  KM 09, S/N.;ZONA RURAL ;65.634-065;TIMON;MA;(99) 3317-7300;(99) 3317-7303;www.frigotil.com.br
02.916.265/0083-06;FRIBOI;JBS S/A ;4507;RODOVIA GO 164 S/N. KM 167;ZONA RURAL;76.700-000;MOZARL.NDIA;GO;(62) 3348-8900;(62) 348-6792;www.jbs.com.br
02.914.460/0018-07;; SEARA ALIMENTOS LTDA      ;490; AV. PALUDO 155;INDUSTRIAL;89.770-000;SEARA;SC;(49) 3441-3000;(49) 3441-3039;www.seara.com.br
83.310.441/0033-02;AURORA;COOPERATIVA CENTRAL AURORA ALIMENTOS;828;RUA BAR.O DO RIO BRANCO, 1272E;SAIC;89.802-025;CHAPEC.;SC;(49) 3321.2000;(49) 3321.2071;www.auroraalimentos.com.br
